Target,UniProt,n,Pearson_r,p_value,GPCR_class
MTNR1B,P49286,12,0.8763,0.0002,Class A
CB1R,P21554,12,0.8298,0.0008,Class A
CHRM3,P20309,12,0.8143,0.0013,Class A
OPN3,Q9H1Y3,12,0.7555,0.0045,Class A
CASR,P41180,9,0.7477,0.0205,Class C
CCR2,P41597,14,0.6985,0.0055,Class A
ADRB2,P07550,12,0.6751,0.016,Class A
HTR7,P34969,21,0.673,0.0008,Class A
ADRA2A,P08913,12,0.6723,0.0166,Class A
OX1R,O43613,12,0.6589,0.0198,Class A
S1PR4,O95977,11,0.6541,0.029,Class A
GPR101,Q96P66,12,0.6509,0.0219,Class A
GPR85,P60893,12,0.6017,0.0385,Class A
HTR1B,P28222,12,0.5842,0.0461,Class A
PTGER2,P43116,12,0.5805,0.0478,Class A
DRD3,P35462,22,0.5714,0.0055,Class A
AGTR1,P30556,23,0.5699,0.0045,Class A
LTB4R,Q15722,12,0.5646,0.0558,Class A
HRH3,Q9Y5N1,12,0.5642,0.056,Class A
F2R,P25116,12,0.5367,0.072,Class A
GPR183,P32249,12,0.503,0.0955,Class A
FZD2,Q14332,12,0.4966,0.1005,Class F
CCKBR,P32239,10,0.4935,0.1472,Class A
ADORA3,P0DMS8,12,0.493,0.1034,Class A
HTR1F,P30939,11,0.4892,0.1267,Class A
HTR1A,P08908,12,0.4794,0.1148,Class A
MTNR1A,P48039,12,0.4692,0.1238,Class A
ADRB1,P08588,12,0.4636,0.129,Class A
CXCR4,P61073,12,0.4485,0.1437,Class A
HTR5A,P47898,12,0.4238,0.1697,Class A
RHO,P08100,12,0.4033,0.1936,Class A
OPRL1,P41146,11,0.4012,0.2214,Class A
PROKR1,Q8TCW9,12,0.3936,0.2056,Class A
OX2R,O43614,12,0.3823,0.2201,Class A
NPY5R,Q15761,12,0.3809,0.2218,Class A
OPN4,Q9UHM6,12,0.3687,0.2382,Class A
ADORA2B,P29275,12,0.3558,0.2563,Class A
HTR1D,P28221,12,0.3557,0.2565,Class A
GHSR,Q92847,12,0.3475,0.2683,Class A
HTR2A,P28223,20,0.3402,0.1422,Class A
TBXA2R,P21731,12,0.3061,0.3332,Class A
ADORA2A,P29274,12,0.2876,0.3648,Class A
CHRM2,P08172,11,0.2854,0.395,Class A
HRH4,Q9H3N8,12,0.2787,0.3803,Class A
CHRM4,P08173,11,0.2685,0.4248,Class A
GPR75,O95800,12,0.2588,0.4167,Class A
DRD1,P21728,12,0.2495,0.4341,Class A
ADGRE5,P48960,12,0.2381,0.4561,Class B
FZD3,Q9NPG1,12,0.2213,0.4894,Class F
ADORA1,P30542,24,0.2199,0.3018,Class A
HRH2,P25021,12,0.2077,0.517,Class A
FPR3,P25089,12,0.1873,0.5599,Class A
EDG1,P21453,12,0.1843,0.5664,Class A
GPR1,P46091,12,0.1772,0.5816,Class A
GPR151,Q8TDV0,12,0.1749,0.5867,Class A
GPR37,O15354,12,0.1682,0.6012,Class A
GPR40,O14842,15,0.1636,0.5602,Class A
OPRK1,P41145,12,0.1608,0.6176,Class A
ADRA2B,P18089,21,0.1599,0.4887,Class A
CHRM5,P08912,12,0.1518,0.6376,Class A
GPR182,O15218,12,0.1502,0.6412,Class A
ADRA1B,P35368,11,0.1348,0.6927,Class A
PTAFR,P25105,12,0.1318,0.683,Class A
GPR139,Q6DWJ6,11,0.1202,0.7248,Class A
FZD9,O00144,12,0.1152,0.7214,Class F
CRHR1,P34998,18,0.106,0.6755,Class B
CCR8,P51685,10,0.105,0.7729,Class A
GPR97,Q86Y34,12,0.1036,0.7486,Class A
MCHR1,Q99705,22,0.0949,0.6743,Class A
LPAR2,Q9HBW0,12,0.0789,0.8075,Class A
HTR2B,P41595,12,0.0361,0.9113,Class A
GCGR,P47871,12,0.0328,0.9194,Class B
LGR4,Q9BXB1,12,0.027,0.9337,Class A
GPR39,O43194,12,0.0217,0.9466,Class A
HTR2C,P28335,12,0.0214,0.9473,Class A
HRH1,P35367,12,0.0071,0.9826,Class A
GPR50,Q13585,12,0.0027,0.9933,Class A
CHRM1,P11229,12,-0.0189,0.9536,Class A
GPR37L1,O60883,12,-0.0316,0.9224,Class A
GPR173,Q9NS66,12,-0.0365,0.9103,Class A
FZD1,Q9UP38,12,-0.1015,0.7535,Class F
SSTR5,P35346,12,-0.1017,0.7531,Class A
HTR4,Q13639,12,-0.1156,0.7206,Class A
TACR1,P25103,12,-0.1282,0.6914,Class A
HTR6,P50406,12,-0.1416,0.6606,Class A
GPR84,Q9NQS5,12,-0.1473,0.6478,Class A
PTGER3,P43115,19,-0.1651,0.4994,Class A
GPR116,Q8IZF2,12,-0.1874,0.5598,Class B
GPR143,P51810,13,-0.1991,0.5143,Class A
OPN5,Q6U736,11,-0.2097,0.5361,Class A
BRS3,P32247,12,-0.2336,0.465,Class A
GPR52,Q9Y2T5,11,-0.2424,0.4727,Class A
CXCR6,O00574,12,-0.2643,0.4065,Class A
SMO,Q99835,12,-0.3077,0.3306,Class F
ADRA1A,P35348,12,-0.3741,0.2309,Class A
CCKAR,P32238,12,-0.3803,0.2226,Class A
GRM5,P41594,12,-0.4032,0.1937,Class C
GPR123,Q86SQ6,12,-0.513,0.0881,Class B
CNR2,P34972,12,-0.5386,0.0708,Class A
CCR3,P51677,10,-0.5422,0.1054,Class A
