Target,n_binders,Pearson_r,Sep,AUROC,Average_Precision,EF_0.5pct,EF_1pct,EF_5pct,EF_10pct
ADRB1,12,0.4636,1.501,0.9872,0.6775,83.33,58.33,16.67,10.0
AGTR1,23,0.5699,1.31,0.914,0.7988,52.22,47.87,17.41,8.7
OX2R,12,0.3823,1.023,0.9221,0.1611,16.67,25.0,10.0,6.67
OX1R,12,0.6589,1.005,0.912,0.3809,50.0,41.67,11.67,6.67
CB1R,12,0.8298,0.659,0.8142,0.3226,66.67,33.33,8.33,6.67
MTNR1B,12,0.8763,0.508,0.7238,0.2378,50.0,25.0,6.67,3.33
DRD3,23,0.5714,0.476,0.7492,0.088,9.03,13.54,5.24,3.5
CXCR4,12,0.4485,0.343,0.6833,0.0366,16.67,8.33,1.67,3.33
PTGER2,12,0.5805,0.321,0.683,0.0176,0.0,0.0,0.0,0.83
CHRM3,12,0.8143,0.27,0.6197,0.1009,16.67,8.33,1.67,3.33
HTR4,12,-0.1156,0.162,0.5835,0.0163,0.0,0.0,1.67,1.67
F2R,12,0.5367,0.155,0.5798,0.0263,16.67,8.33,1.67,1.67
HTR7,21,0.673,0.137,0.5497,0.0718,9.52,4.76,1.9,0.95
HTR6,12,-0.1416,0.118,0.5331,0.0334,16.67,8.33,3.33,1.67
GPR85,12,0.6017,0.078,0.5376,0.0151,0.0,0.0,1.67,0.83
SMO,12,-0.3077,-0.0,0.5155,0.0103,0.0,0.0,0.0,0.0
CCR2,14,0.6985,-0.011,0.4675,0.0151,0.0,0.0,1.43,2.14
CCR3,10,-0.5422,-0.024,0.4902,0.0087,0.0,0.0,0.0,0.0
GPR37L1,12,-0.0316,-0.389,0.2849,0.0072,0.0,0.0,0.0,0.0
CNR2,12,-0.5386,-0.39,0.2949,0.0072,0.0,0.0,0.0,0.0
